bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-QA_ses-20181015mr000204_bold	0.007748966666666667	0.00037317814033333333	0	5.585466324381268	1.000940295652174	1.0492292219063546	0.6126792481051092	711.6259765625	0.015042774491158772	0	0.0	3.1287688888888887	2.32715	2.971856666666667	4.0873	0.191021	-0.009155637584626675	0.01949562318623066	300	72	72	37	2.2114529874266813	2.0	3.0	3.0	3.0	3.7787884422990876	6.419667493015684	23.33167839050293	19.670000076293945	78482.0	14.753334045410156	44.0	9.890663146972656	0.8795172410714893	213.86043826766866	614.8558349609375	546.510009765625	75685.0	337.8586853027344	1110.7120605468758	247.12548828125	186.39701632317156
sub-QA_ses-20181101mr000201_bold	0.0018386956521739134	0.0005369426923076923	1	8.399083999865779	1.1955031351342273	0.9671125125838926	0.6317237289493478	1802.6905517578125	0.03666213530525616	0	0.0	2.964602222222222	2.2335033333333336	2.391103333333333	4.2692000000000005	0.0338436	-0.0023884086403995752	0.009094901382923126	299	72	72	35	4.019898958438079	2.0	3.0	3.0	3.0	3.1016517508437556	17.55321869832542	68.357421875	62.78929901123047	72510.0	25.05919733047486	116.59715614318847	26.656875610351562	-0.282595554317175	648.6855258423936	2780.5126953125	2669.2841796875	73033.0	1815.648828125	4004.9257324218747	664.01318359375	169.26525170449167
sub-QA_ses-20181101mr000202_bold	0.002129732441471572	0.0004491772173913044	1	5.769081467852349	1.0120814064093957	0.9384529459395977	0.6247249617464153	2154.631103515625	0.02078124614128086	0	0.0	2.9666622222222223	2.20599	2.41183	4.282166666666667	0.0259332	-0.0027901919092983007	0.010284417308866978	299	72	72	35	4.226298790765297	2.0	3.0	3.0	3.0	7.815443813814495	21.44070030503697	73.72351837158203	65.29766082763672	74421.0	27.605350494384766	133.86622619628906	32.854610443115234	-0.11794664007305045	676.2475933546807	3106.007568359375	2999.62548828125	71374.0	2048.6732299804685	4406.950537109375	709.7473754882812	175.3270056657493
sub-QA_ses-20181101mr000203_bold	0.0012415384615384612	0.0003114210903010033	1	5.216493468959732	0.9576069797315441	0.9707999763758393	0.6181118088605883	1534.837158203125	0.005383168138123331	0	0.0	2.8769438188249983	2.219536666666667	2.313833333333333	4.097461456474996	0.132027	-0.0030909187626093626	0.011340899392962456	299	72	72	37	3.9413915967411537	2.0	3.0	3.0	3.0000038146972656	4.963625067183872	15.426004852407425	61.938758850097656	55.77926254272461	80961.0	25.070234298706055	107.05351257324219	23.827470779418945	-0.11538840763215674	562.1047777562136	2293.871337890625	2189.993408203125	73579.0	1559.1962646484376	3340.4046386718746	555.6358642578125	186.26119470316917
sub-QA_ses-20181102mr000201_bold	0.0024003344481605352	0.0005760786856187292	1	10.724215811879192	1.3103486543624165	0.965283553557047	0.6285910448130517	1838.7138671875	0.052793096856622035	0	0.0	3.064892222222222	2.27612	2.4467233333333334	4.4718333333333335	0.0451007	-0.0019711225759238005	0.008268238045275211	299	72	72	35	3.867778579913988	2.0	3.0	3.0	3.0	3.425039356722972	15.376421517867483	65.93212890625	60.535118103027344	72717.0	29.463544082641604	110.0508331298828	24.12441635131836	-0.2071706552435364	652.2086969102219	2718.168701171875	2610.41650390625	72740.0	1717.1267395019531	3960.943115234375	674.9089965820312	161.73237696290016
sub-QA_ses-20181102mr000202_bold	0.0018609364548494984	0.0004607895551839465	1	5.869293717046972	1.0199414288255038	0.9367208769463078	0.6262947592245232	2094.645263671875	0.019796211348489284	0	0.0	2.876592222222223	2.1593533333333332	2.36529	4.105133333333334	0.0212624	-0.003134323051199317	0.010913926176726818	299	72	72	35	4.391836232038405	2.0	3.0	3.0	3.0	6.75545759446716	22.61588811166638	75.90088653564453	67.58863067626953	74281.0	25.197324752807617	139.13043212890625	35.39201736450195	-0.2734340326045017	696.0050053407426	3164.952392578125	3054.5869140625	71404.0	2179.8478881835936	4457.439672851562	695.5098876953125	180.58461158070713
sub-QA_ses-20181102mr000203_bold	0.0015713043478260869	0.00029710221404682274	1	5.211753278691276	0.958079572114095	0.9701674086241611	0.6171686893671658	1503.9703369140625	0.005135045636600593	0	0.0	2.856857273061605	2.21284	2.3056266666666665	4.052105152518148	0.142494	-0.004070810973644257	0.012408052571117878	299	72	72	37	3.9567630220645	2.0	3.0	3.0	2.9999961853027344	6.332209543753411	16.670593491492596	63.499595642089844	56.86621856689453	81455.0	24.10635395050049	111.3073539733887	25.28399658203125	-0.12700069872853614	568.9127669717318	2300.061767578125	2198.55859375	73275.0	1570.4705688476563	3344.1868896484375	555.6419677734375	186.9444760400802
sub-QA_ses-20181102mr000204_bold	0.006965033333333332	0.0003784171513333333	0	5.8456798957525065	1.0086543952508367	1.0529201319063541	0.6073137322387883	713.8232421875	0.017598756913272836	0	0.0	3.336467777777777	2.3487899999999997	3.0516466666666666	4.608966666666666	0.15092	-0.007529840804636478	0.018871000036597252	300	72	72	37	2.17165097647463	2.0	3.0	3.0	3.0	3.965926925845512	5.574584680921781	22.383115768432617	18.593334197998047	79531.0	14.49333381652832	42.516666412353516	9.50637149810791	1.045033050692095	199.77576243729445	588.6321411132812	520.86669921875	74637.0	322.21002197265625	1071.746728515625	239.84664916992188	190.44803232327104
sub-QA_ses-20181115mr000201_bold	0.0019989297658862875	0.0006464827859531772	1	9.558601081778523	1.2567953537583885	0.9586067967449663	0.635307651758868	1916.129638671875	0.04234070872587688	0	0.0	2.7985966666666666	2.141973333333333	2.29415	3.9596666666666667	0.0379523	-0.002473045140504837	0.009043361060321331	299	72	72	35	4.362484420822665	2.0	3.0	3.0	3.0	6.606275121826787	17.726768852733162	68.37370300292969	62.58528518676758	72415.0	25.559197807312017	117.7157211303711	27.28169059753418	-0.3090687226864208	624.4580464497313	2843.653564453125	2734.220703125	73180.0	1962.498126220703	4012.4242309570313	626.75341796875	169.35571240633726
sub-QA_ses-20181115mr000202_bold	0.0018395986622073578	0.00035001762207357857	1	6.519851270134226	1.0459682825167786	0.9384737989932881	0.6160770646394522	1931.8048095703125	0.023157530540922643	0	0.0	3.442198888888889	2.4837766666666665	2.7310533333333336	5.111766666666667	0.0246615	-0.0022783740423619747	0.009966160170733929	299	72	72	35	3.3449076908450777	2.0	3.0	3.0	3.0	5.849021520775894	17.964776776474963	69.96178436279297	62.18729019165039	74209.0	25.48829460144043	125.6622085571289	30.333269119262695	-0.04476299701090314	741.811839655709	2832.427490234375	2734.82763671875	71424.0	1532.6678649902344	4334.217138671874	817.6035766601562	168.34716461598873
